claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,fraud
5812,22,M,1.0,88,30907,1,0,Rent,15019,7/7/2016,Thursday,Highway,1,0.0,51,Online,1,4647.815664,7.0,Compact,40405.67958,red,18182.95266,0
5813,31,M,1.0,82,34353,1,1,Own,50001,9/17/2015,Thursday,Local,0,1.0,2,Broker,1,8355.273848,7.0,Large,10386.06858,white,13397.05599,0
5814,50,M,1.0,40,39118,1,0,Own,85068,8/3/2016,Wednesday,Highway,0,0.0,75,Broker,0,2963.066926,6.0,Compact,22947.136130000003,black,36910.508539999995,0
5815,31,M,1.0,88,34346,1,1,Own,20149,8/18/2015,Tuesday,Local,0,1.0,24,Broker,1,4961.802487,4.0,Medium,12113.48917,other,36235.23111,0
5816,30,F,1.0,85,34031,0,0,Own,85044,11/23/2016,Wednesday,Local,2,1.0,0,Phone,1,8513.275651,3.0,Large,47631.9212,white,34303.653,0
5817,69,M,1.0,51,42342,1,1,Own,80110,5/8/2016,Sunday,Highway,3,0.0,0,Broker,1,5310.517238,4.0,Medium,20898.75954,white,39759.1619,0
5818,42,M,1.0,71,37365,1,1,Own,15001,12/19/2016,Monday,Highway,1,0.0,25,Broker,0,6500.71176,9.0,Compact,14257.476319999998,other,13979.90264,1
5819,41,F,1.0,54,37125,1,1,Rent,50009,10/11/2015,Sunday,Local,5,0.0,99,Broker,1,4410.630381,4.0,Large,17993.93349,other,44894.50626,1
5820,31,F,1.0,90,34354,0,1,Rent,80041,5/9/2015,Saturday,Highway,0,0.0,75,Online,1,7311.809558,3.0,Medium,19631.94181,gray,46532.33166,0
5821,38,F,1.0,84,36388,1,0,Own,80030,6/17/2015,Wednesday,Local,0,0.0,3,Broker,0,5172.726443,2.0,Compact,21772.89062,black,14271.854790000001,0
5824,65,F,1.0,86,41761,1,0,Rent,50055,7/31/2016,Sunday,Parking Lot,0,0.0,43,Phone,1,2322.727991,4.0,Compact,27157.50057,silver,13100.76501,0
5826,42,M,0.0,82,37388,0,1,Own,80011,4/28/2015,Tuesday,Highway,0,0.0,1,Broker,1,8019.163015000001,5.0,Medium,31166.27857,white,20417.31735,1
5829,38,F,0.0,57,36379,1,0,Own,50002,11/14/2015,Saturday,Parking Lot,1,1.0,80,Broker,1,2378.524568,4.0,Medium,26852.28705,other,3053.099348,0
5830,44,F,0.0,90,37847,0,1,Own,20115,10/26/2016,Wednesday,Highway,0,0.0,0,Broker,0,5955.23254,3.0,Compact,22978.708290000002,silver,12048.64092,1
5831,49,M,1.0,8,38914,1,1,Own,15042,7/9/2015,Thursday,Parking Lot,0,0.0,91,Broker,0,4392.706247,6.0,Medium,14847.2911,white,44032.49677,0
5833,48,M,1.0,79,38709,1,1,Own,85075,11/5/2016,Saturday,Highway,1,0.0,68,Broker,1,5628.326604,6.0,Medium,17332.298909999998,gray,9997.015954,1
5835,63,M,1.0,71,41428,1,1,Rent,80015,12/16/2015,Wednesday,Local,0,0.0,74,Online,1,3008.669875,6.0,Large,6953.118587999999,blue,11361.45369,0
5836,42,F,1.0,92,37364,1,1,Own,15059,12/21/2015,Monday,Local,0,1.0,1,Broker,1,1241.691411,4.0,Large,7565.179834999999,silver,19397.77286,0
5837,36,M,0.0,76,35841,1,0,Own,20160,3/25/2016,Friday,Local,0,0.0,3,Broker,0,5761.140799,6.0,Compact,9810.296123999999,blue,30050.32162,0
5840,36,M,1.0,42,35844,0,0,Own,50025,8/12/2015,Wednesday,Local,1,0.0,81,Broker,1,4565.880923,6.0,Compact,22507.54968,red,6324.936939,0
5841,37,F,1.0,79,36112,1,0,Rent,80038,2/7/2016,Sunday,Parking Lot,0,1.0,0,Broker,0,4596.750761,3.0,Compact,9217.910077,red,17603.86319,0
5843,45,M,1.0,60,38083,1,0,Rent,15030,9/12/2016,Monday,Local,0,0.0,99,Phone,0,2899.569357,9.0,Compact,35678.86877,gray,17886.45013,0
5844,54,F,1.0,70,39885,0,0,Own,80028,2/25/2015,Wednesday,Parking Lot,1,1.0,29,Phone,0,2237.311715,5.0,Large,12352.816640000001,black,6820.0031260000005,0
5845,59,M,1.0,69,40767,1,1,Rent,15012,10/13/2015,Tuesday,Parking Lot,0,0.0,96,Broker,0,5769.186285,4.0,Medium,14011.193159999999,silver,21881.461919999998,0
5846,40,M,0.0,74,36885,1,1,Own,15012,3/31/2016,Thursday,Local,0,1.0,0,Broker,0,6802.31038,7.0,Large,21936.12187,blue,34295.036680000005,0
5847,40,M,1.0,91,36892,0,1,Own,50006,3/7/2015,Saturday,Highway,0,0.0,27,Phone,0,5394.68139,3.0,Medium,22140.87002,gray,27055.15885,0
5848,25,M,1.0,74,32192,1,0,Rent,80011,2/2/2015,Monday,Parking Lot,0,0.0,89,Phone,0,9022.234277,5.0,Compact,10939.61408,other,17714.56501,0
5852,56,M,0.0,81,40255,1,0,Own,85083,1/1/2015,Thursday,Highway,0,1.0,5,Broker,0,3429.862411,3.0,Compact,25099.30965,white,12650.03458,0
5853,69,F,1.0,97,42344,0,0,Own,15043,7/12/2015,Sunday,Local,2,1.0,97,Broker,1,2793.367602,2.0,Compact,14961.41263,blue,60476.370339999994,0
5854,33,F,1.0,71,34953,1,1,Own,80047,4/27/2015,Monday,Local,0,1.0,86,Online,1,7310.450951000001,4.0,Compact,17099.15296,other,15925.348,0
5858,48,M,1.0,80,38700,1,1,Own,80011,4/24/2016,Sunday,Highway,0,0.0,96,Phone,1,6547.977908,3.0,Medium,34102.46049,red,23653.50337,0
5860,36,F,1.0,72,35845,1,1,Rent,50039,9/3/2015,Thursday,Local,0,1.0,95,Phone,0,7121.183081,5.0,Compact,19197.060680000002,gray,6310.39499,0
5864,45,F,0.0,92,38082,1,1,Rent,85024,4/4/2015,Saturday,Highway,3,0.0,79,Phone,1,6129.9843009999995,5.0,Medium,7366.883255,silver,12745.773879999999,0
5865,36,M,1.0,73,35830,0,1,Own,20165,1/9/2016,Saturday,Local,0,0.0,80,Phone,1,4544.184221,6.0,Compact,33395.353760000005,red,11416.50498,0
5867,44,M,1.0,54,37847,1,1,Own,85060,11/20/2016,Sunday,Parking Lot,1,0.0,46,Phone,0,3723.9060310000004,1.0,Large,40858.24774,gray,13754.23875,0
5868,63,M,1.0,51,41438,1,0,Own,15025,12/4/2015,Friday,Highway,1,0.0,99,Broker,1,7087.742979000001,3.0,Medium,13948.34729,gray,11088.08228,0
5870,47,M,0.0,57,38496,1,1,Rent,20103,9/23/2016,Friday,Local,0,0.0,100,Broker,0,2047.855962,4.0,Compact,22479.41329,red,39487.5343,1
5871,30,M,0.0,73,34011,0,0,Own,50033,4/5/2016,Tuesday,Local,1,0.0,11,Online,0,4893.547404999999,4.0,Large,29333.463180000002,white,41343.03831,0
5874,48,M,1.0,40,38711,1,1,Own,50003,1/11/2015,Sunday,Local,0,0.0,85,Broker,1,2659.320028,2.0,Compact,23379.84405,black,5278.785111,0
5876,37,F,1.0,75,36113,0,1,Own,50044,3/29/2015,Sunday,Parking Lot,0,1.0,3,Broker,1,7046.845106999999,5.0,Compact,14039.47296,gray,14939.475,0
5877,43,F,0.0,64,37621,1,1,Own,50059,2/27/2016,Saturday,Highway,0,0.0,9,Broker,0,3646.8229969999998,7.0,Compact,22739.44995,black,15305.918569999998,0
5879,56,F,1.0,64,40240,1,1,Rent,50001,3/2/2016,Wednesday,Local,0,0.0,51,Phone,0,6041.014771,9.0,Compact,23170.060380000003,white,18276.4168,0
5881,45,F,1.0,62,38072,0,0,Own,85021,2/14/2015,Saturday,Parking Lot,0,0.0,9,Broker,1,2520.377453,5.0,Compact,38895.0403,red,37608.48521,0
5882,43,M,1.0,70,37603,0,1,Rent,20103,3/26/2015,Thursday,Local,0,1.0,74,Phone,0,6244.140521,5.0,Medium,19723.32008,black,11026.82344,0
5883,32,F,1.0,67,34654,1,1,Rent,80102,2/3/2015,Tuesday,Local,2,1.0,21,Broker,1,3990.106921,3.0,Compact,7505.301029000001,white,31697.75205,0
5884,61,F,1.0,73,41107,1,1,Own,20119,8/24/2016,Wednesday,Parking Lot,0,1.0,2,Phone,0,3479.355171,1.0,Large,25176.75205,other,9360.091112,0
5885,55,F,1.0,63,40076,1,1,Own,80034,1/23/2016,Saturday,Local,0,0.0,61,Phone,1,10695.08295,4.0,Compact,11512.950859999999,silver,36620.82784,0
5887,67,M,1.0,82,42052,1,0,Own,15019,11/8/2016,Tuesday,Highway,3,0.0,100,Broker,1,5777.754779,6.0,Large,28017.19783,black,21426.304480000003,0
5888,66,F,1.0,85,41877,1,0,Rent,80002,9/28/2015,Monday,Parking Lot,0,0.0,94,Broker,0,4901.890497,5.0,Large,15663.778880000002,gray,19487.74395,0
5889,35,F,1.0,89,35573,1,0,Own,50003,9/20/2016,Tuesday,Highway,0,0.0,97,Broker,0,1457.9272210000001,5.0,Large,37839.50167,white,25492.94561,0
5890,48,F,0.0,61,38718,1,1,Own,50021,4/22/2016,Friday,Parking Lot,0,0.0,69,Phone,1,6122.793169,6.0,Large,23391.909630000002,red,23948.790090000002,1
5891,29,M,1.0,73,33666,1,1,Rent,85015,6/3/2016,Friday,Parking Lot,2,0.0,79,Online,1,7921.607164,6.0,Medium,26066.27367,black,34235.9671,0
5893,28,F,1.0,68,33320,1,1,Rent,50039,8/28/2016,Sunday,Local,2,0.0,23,Online,0,5714.810455,6.0,Large,8618.23378,blue,25505.02321,0
5895,28,F,1.0,90,33321,1,1,Rent,80014,8/9/2016,Tuesday,Local,0,1.0,81,Online,1,6616.9430950000005,5.0,Compact,2785.347011,gray,19440.95703,0
5896,36,M,0.0,54,35829,1,1,Own,85050,3/3/2016,Thursday,Local,1,1.0,98,Phone,0,4474.6662049999995,4.0,Large,9587.842902,black,18352.31568,0
5897,44,F,1.0,62,37847,0,1,Own,85074,7/13/2015,Monday,Local,0,0.0,99,Phone,0,5164.7503560000005,7.0,Large,25170.37393,blue,17412.30308,0
5901,64,F,1.0,79,41586,1,1,Rent,85076,7/16/2016,Saturday,Local,0,0.0,97,Phone,0,6311.565788,12.0,Compact,20996.86793,blue,22387.25017,0
5902,44,F,0.0,71,37846,0,1,Rent,20153,8/18/2015,Tuesday,Local,0,0.0,21,Phone,0,3857.6024729999995,1.0,Large,23068.992619999997,black,11567.13823,1
5903,36,M,1.0,61,35828,1,1,Own,50020,7/10/2016,Sunday,Local,0,1.0,62,Broker,0,6047.941034,3.0,Medium,38504.832330000005,black,13466.996809999999,0
5904,56,M,0.0,79,40255,1,1,Own,85055,6/13/2016,Monday,Local,2,0.0,50,Broker,1,4731.2985149999995,4.0,Medium,25514.22215,red,19796.202859999998,0
5905,28,M,1.0,59,33325,1,1,Rent,50044,2/22/2015,Sunday,Local,0,0.0,0,Phone,1,6350.991688,4.0,Compact,13770.6959,red,50571.60265,0
5908,36,F,0.0,69,35823,1,1,Own,50021,11/4/2015,Wednesday,Parking Lot,0,0.0,99,Online,1,2442.782901,7.0,Large,30972.786389999997,red,28420.010710000002,0
5914,61,M,1.0,83,41105,1,0,Own,20131,1/23/2015,Friday,Local,0,0.0,11,Phone,0,6570.081271999999,2.0,Large,29148.0361,black,15066.31983,0
5915,31,F,1.0,74,34343,0,1,Own,80001,10/11/2016,Tuesday,Local,0,0.0,32,Broker,1,9169.877965000001,0.0,Medium,22119.608790000002,black,23590.87615,0
5916,56,M,1.0,74,40256,0,0,Own,85006,4/8/2016,Friday,Local,0,1.0,83,Broker,0,3114.831824,5.0,Compact,33791.88852,white,46138.27297,0
5917,43,M,0.0,71,37589,1,1,Own,15042,6/18/2015,Thursday,Highway,0,0.0,88,Broker,0,2893.543983,6.0,Medium,18310.76342,white,10140.94095,0
5918,42,F,0.0,74,37353,1,1,Rent,85046,5/28/2015,Thursday,Highway,0,0.0,79,Broker,1,3184.948693,8.0,Medium,18424.224159999998,white,11869.59797,0
5919,52,M,1.0,1,39505,1,1,Own,15030,10/23/2015,Friday,Local,0,1.0,58,Broker,0,7296.745901,4.0,Compact,19414.42581,blue,38454.301080000005,0
5920,63,M,1.0,91,41435,0,1,Rent,80042,2/13/2016,Saturday,Parking Lot,0,0.0,19,Broker,0,1195.8078449999998,4.0,Medium,5340.643368999999,silver,26084.058419999998,0
5921,52,F,1.0,61,39507,0,1,Own,15014,1/23/2015,Friday,Highway,1,1.0,76,Broker,1,6866.598286,5.0,Medium,30379.95113,gray,4937.170542,0
5922,38,M,1.0,84,36393,1,1,Own,20159,12/2/2016,Friday,Local,0,0.0,87,Broker,1,3691.835361,5.0,Medium,25090.91229,gray,27669.11737,0
5923,57,M,1.0,69,40407,0,0,Rent,20152,10/25/2016,Tuesday,Local,1,0.0,51,Broker,1,3017.3665309999997,1.0,Compact,16590.469869999997,red,18999.1821,0
5924,32,M,1.0,75,34654,1,1,Own,80045,9/9/2015,Wednesday,Local,0,0.0,38,Online,0,7985.615025,8.0,Large,15927.58725,white,48741.572960000005,0
5926,62,F,1.0,59,41271,0,1,Rent,85022,10/9/2015,Friday,Parking Lot,0,0.0,9,Phone,1,5162.610282,4.0,Medium,25794.2922,gray,44499.58285,0
5927,37,F,0.0,76,36100,0,1,Own,85050,1/18/2015,Sunday,Local,0,0.0,42,Broker,0,2738.926239,3.0,Large,11180.295240000001,gray,16095.2825,0
5928,37,F,1.0,89,36113,1,1,Rent,85046,5/16/2015,Saturday,Local,0,0.0,96,Broker,1,3518.5412450000003,6.0,Compact,18255.29679,silver,19386.52967,0
5930,53,M,1.0,78,39709,1,1,Rent,85048,1/30/2016,Saturday,Local,0,0.0,90,Broker,0,9370.790276,3.0,Medium,33862.19599,gray,32264.522189999996,1
5932,52,M,1.0,85,39508,0,1,Rent,20102,12/24/2015,Thursday,Local,1,0.0,86,Online,1,6756.274397,5.0,Medium,37345.28366,gray,22696.705009999998,0
5933,42,F,1.0,86,37379,0,0,Own,85042,5/29/2015,Friday,Local,0,0.0,75,Broker,1,8265.62551,7.0,Large,21590.11377,white,28672.00716,0
5934,29,F,1.0,73,33681,0,1,Rent,80027,10/7/2016,Friday,Local,0,1.0,80,Online,0,4483.643722,2.0,Medium,33995.14263,red,17796.02856,0
5935,54,M,0.0,69,39897,1,1,Own,85014,3/29/2015,Sunday,Local,0,1.0,57,Broker,0,2872.489464,4.0,Compact,44627.39632,blue,16867.39614,0
5936,52,M,0.0,65,39512,1,1,Own,20153,9/9/2016,Friday,Local,2,0.0,98,Broker,1,3764.9468859999997,3.0,Compact,9551.498454,silver,28116.336460000002,0
5941,56,F,1.0,91,40253,1,0,Rent,50057,2/28/2016,Sunday,Highway,2,1.0,96,Broker,1,4518.757288000001,4.0,Medium,5664.516726,gray,18202.28163,0
5945,50,M,1.0,97,39131,0,1,Own,15027,9/2/2015,Wednesday,Highway,0,0.0,51,Broker,1,3192.963854,3.0,Compact,13540.40217,other,8870.609851000001,0
5947,51,F,1.0,78,39296,1,0,Rent,50038,3/23/2016,Wednesday,Parking Lot,0,1.0,2,Broker,0,2477.446777,8.0,Large,35059.10449,silver,13382.47479,0
5948,35,F,0.0,81,35558,1,1,Own,15027,8/30/2016,Tuesday,Parking Lot,0,0.0,8,Broker,1,1021.714473,4.0,Medium,42796.13714,black,31387.356560000004,0
5949,42,F,1.0,70,37376,0,1,Rent,80036,5/19/2015,Tuesday,Highway,0,0.0,72,Broker,1,8271.654462,6.0,Medium,41996.950130000005,silver,17437.953169999997,0
5951,41,M,0.0,74,37119,1,1,Own,85006,9/17/2016,Saturday,Parking Lot,0,1.0,68,Phone,1,1691.8829329999999,4.0,Compact,15664.40244,other,15552.17535,0
5956,34,F,1.0,70,35262,1,0,Own,80003,8/29/2015,Saturday,Highway,2,0.0,9,Phone,1,3316.482996,5.0,Large,8801.847334999999,black,10752.943459999999,0
5957,54,M,1.0,94,39904,1,1,Own,85069,2/12/2016,Friday,Highway,0,0.0,97,Phone,0,13365.17197,3.0,Compact,17422.39715,other,33462.855189999995,0
5961,29,M,0.0,64,33672,0,1,Rent,50049,10/24/2015,Saturday,Highway,1,0.0,13,Online,1,8196.378798,6.0,Compact,44670.54117,gray,19600.081309999998,0
5962,39,M,0.0,62,36646,0,0,Own,15025,4/17/2015,Friday,Local,1,1.0,0,Broker,1,3699.358958,2.0,Large,29245.022660000002,silver,20199.3998,0
5963,32,M,0.0,86,34658,0,0,Rent,85046,11/10/2016,Thursday,Highway,0,0.0,25,Online,0,9005.820889,3.0,Medium,24681.758690000002,gray,19287.81597,0
5965,65,M,1.0,62,41714,0,0,Own,85025,7/7/2016,Thursday,Parking Lot,0,0.0,74,Phone,0,5911.405836,4.0,Medium,14436.091190000001,white,18815.70237,0
5966,44,M,1.0,87,37854,1,0,Rent,80030,7/12/2015,Sunday,Parking Lot,0,0.0,1,Broker,1,5452.010654,4.0,Compact,27301.60008,blue,19306.22949,0
5968,45,M,1.0,79,38068,1,1,Rent,85027,9/16/2016,Friday,Highway,3,1.0,80,Broker,1,4329.2240090000005,4.0,Large,35151.28817,gray,12152.67756,0
5971,31,M,1.0,72,34340,0,1,Own,85055,5/18/2016,Wednesday,Parking Lot,3,0.0,81,Phone,1,5309.709349000001,4.0,Large,21630.32389,blue,32788.210680000004,0
5974,59,F,0.0,88,40784,0,1,Own,80019,2/16/2015,Monday,Local,2,0.0,84,Broker,1,1829.0847579999997,5.0,Compact,18000.23046,black,10788.928240000001,1
5975,41,F,0.0,60,37122,1,0,Rent,20148,6/29/2015,Monday,Local,0,0.0,27,Broker,1,2912.2276739999998,4.0,Compact,28679.003839999998,gray,16264.699680000002,0
5977,42,M,0.0,98,37369,0,1,Rent,85005,9/2/2016,Friday,Highway,0,0.0,2,Phone,0,4879.366454999999,4.0,Compact,29923.047260000003,other,17817.94354,0
5978,70,F,0.0,79,42486,0,1,Rent,80102,6/29/2016,Wednesday,Parking Lot,1,0.0,50,Phone,1,4259.3722450000005,0.0,Large,22282.85151,white,29178.355460000002,0
5986,33,F,1.0,92,34968,0,1,Own,80004,10/30/2016,Sunday,Parking Lot,0,0.0,7,Broker,1,1839.5482370000002,5.0,Medium,34339.00943,other,28336.32066,0
5987,39,F,1.0,89,36630,0,1,Rent,20143,12/18/2015,Friday,Local,0,0.0,98,Phone,0,1391.535979,8.0,Medium,22752.78469,gray,25002.61897,0
5988,46,F,1.0,71,38292,1,0,Own,85072,1/9/2016,Saturday,Local,0,0.0,94,Broker,0,4620.027693,6.0,Compact,27609.91505,silver,12311.61822,0
5989,44,F,1.0,73,37838,1,0,Own,20163,1/10/2015,Saturday,Parking Lot,0,0.0,97,Phone,1,2050.4445739999996,5.0,Medium,14850.07025,red,23433.16648,0
5990,41,F,0.0,87,37131,1,1,Own,20130,11/4/2015,Wednesday,Local,0,0.0,77,Broker,0,3198.736061,6.0,Large,12603.20874,black,25386.565590000002,0
5993,56,M,0.0,66,40251,1,0,Own,50009,9/2/2016,Friday,Parking Lot,0,0.0,1,Phone,0,9054.882693000001,4.0,Compact,11488.19911,black,18578.79689,0
5995,24,F,1.0,47,31780,1,1,Rent,50038,6/21/2015,Sunday,Parking Lot,0,0.0,18,Online,0,6922.622895,5.0,Medium,3704.0884770000002,other,22587.31034,1
5998,35,F,1.0,46,35565,0,1,Own,20137,12/20/2016,Tuesday,Parking Lot,0,0.0,81,Phone,1,4975.117601,5.0,Medium,27381.65613,white,12594.200190000001,0
5999,31,F,1.0,62,34335,1,0,Own,20160,3/7/2016,Monday,Local,0,0.0,11,Phone,0,4614.064349,8.0,Large,8383.645434,black,19309.70778,0
6000,38,M,0.0,72,36374,0,0,Rent,15014,4/1/2016,Friday,Parking Lot,0,0.0,95,Broker,0,9090.885862000001,2.0,Large,7656.862907,black,33663.32487,1
6003,49,M,0.0,96,38904,0,0,Rent,20151,5/28/2015,Thursday,Highway,0,0.0,20,Broker,1,4653.609681,6.0,Large,24225.445969999997,gray,7439.499585,0
6004,57,F,1.0,77,40431,1,0,Rent,15031,2/5/2016,Friday,Parking Lot,0,0.0,11,Broker,0,7303.345951,3.0,Compact,25927.917569999998,other,12018.56639,0
6005,58,M,1.0,67,40577,1,1,Rent,50023,5/13/2015,Wednesday,Parking Lot,0,0.0,66,Phone,0,2968.122046,4.0,Compact,15636.92544,red,18878.48895,0
6006,33,F,1.0,57,34969,1,1,Rent,50013,1/19/2015,Monday,Local,3,0.0,30,Phone,1,10347.442509999999,3.0,Medium,12546.84377,silver,19420.32582,0
6007,41,M,0.0,90,37119,0,0,Rent,15045,9/3/2016,Saturday,Local,0,1.0,2,Broker,0,7424.654231999999,3.0,Large,10837.4908,gray,11540.00672,0
6008,54,M,1.0,80,39891,1,0,Rent,20106,5/6/2016,Friday,Local,2,0.0,80,Phone,1,5723.582338,4.0,Medium,5897.846969,blue,30584.179760000003,0
6012,29,F,1.0,93,33661,1,1,Rent,15052,10/9/2015,Friday,Local,1,0.0,8,Online,1,2710.126805,6.0,Medium,16361.82006,black,39287.043,0
6013,22,M,0.0,45,30901,1,1,Rent,20106,5/30/2016,Monday,Local,0,0.0,67,Online,0,7786.609576999999,1.0,Large,9532.168236,white,20744.86805,0
6014,47,M,1.0,71,38496,1,1,Rent,50047,4/25/2015,Saturday,Parking Lot,0,0.0,85,Broker,1,6750.832240000001,3.0,Compact,28373.25818,silver,25972.49617,0
6015,58,F,1.0,48,40593,1,0,Own,85070,5/16/2016,Monday,Parking Lot,1,0.0,50,Broker,1,8447.951013,7.0,Medium,22274.56194,gray,34413.00545,0
6016,36,M,0.0,58,35850,0,1,Own,20101,1/12/2015,Monday,Local,0,0.0,6,Broker,0,3862.6338549999996,3.0,Large,11999.524959999999,gray,11965.50381,0
6017,39,M,1.0,90,36637,1,1,Own,20140,12/6/2015,Sunday,Highway,0,0.0,78,Phone,1,3043.611993,3.0,Compact,40683.173610000005,white,8106.0894260000005,0
6019,52,F,0.0,75,39497,1,0,Rent,85046,4/14/2015,Tuesday,Local,0,0.0,44,Broker,1,9517.906866,4.0,Medium,23153.6378,red,26296.25921,0
6020,29,M,1.0,87,33676,0,0,Rent,85018,8/7/2016,Sunday,Parking Lot,0,0.0,42,Online,0,5868.756928,5.0,Medium,18891.924730000002,white,19537.34927,1
6022,58,F,1.0,92,40599,1,1,Rent,85024,6/13/2015,Saturday,Local,0,0.0,98,Phone,0,6729.61633,3.0,Medium,8572.353191,silver,28755.87605,0
6023,29,F,1.0,90,33676,0,0,Rent,15027,6/24/2016,Friday,Highway,0,0.0,38,Online,0,1705.2915510000003,5.0,Compact,29813.926069999998,white,17758.31215,0
6025,34,M,1.0,75,35273,0,0,Rent,20152,8/29/2015,Saturday,Parking Lot,0,0.0,93,Broker,0,3644.491439,4.0,Compact,21816.40521,blue,11212.79816,0
6027,41,M,1.0,79,37132,1,1,Rent,20107,1/15/2015,Thursday,Parking Lot,0,0.0,90,Broker,1,4648.127111,3.0,Large,11473.39976,red,14800.45855,0
6028,37,F,0.0,80,36102,0,1,Rent,50013,2/3/2016,Wednesday,Local,0,0.0,99,Broker,1,6568.485715999999,6.0,Compact,29282.04154,silver,29337.685360000003,0
6029,38,F,1.0,56,36371,1,1,Own,0,5/12/2015,Tuesday,Highway,0,1.0,16,Broker,0,6461.26977,6.0,Compact,37488.64998,other,17776.31652,0
6030,61,F,1.0,88,41101,1,0,Own,50025,3/28/2015,Saturday,Parking Lot,1,0.0,59,Broker,1,3485.094644,6.0,Compact,19006.58483,silver,9378.171209,0
6032,32,M,1.0,48,34650,0,1,Own,80001,3/17/2015,Tuesday,Highway,0,0.0,2,Phone,0,4264.551156,0.0,Large,45691.82805,white,20745.65965,0
6035,22,F,1.0,82,30908,1,1,Own,80002,8/30/2015,Sunday,Local,3,1.0,50,Online,1,3906.005554,7.0,Medium,29722.86586,other,31388.55643,0
6038,25,M,1.0,75,32181,1,1,Rent,20131,6/7/2015,Sunday,Local,0,0.0,75,Online,1,8390.30177,5.0,Large,11517.05726,gray,9791.291220000001,0
6039,27,M,0.0,65,32960,1,1,Rent,85048,8/6/2015,Thursday,Parking Lot,0,0.0,0,Online,0,2319.032262,6.0,Compact,17608.46934,blue,48907.03521,0
6040,54,F,1.0,91,39880,1,1,Rent,80025,5/20/2016,Friday,Local,1,0.0,75,Broker,0,2184.2813260000003,5.0,Large,25179.62933,gray,11394.87437,0
6044,22,F,0.0,56,30906,1,1,Rent,20152,7/23/2016,Saturday,Highway,1,0.0,2,Phone,1,7770.754639,3.0,Compact,28695.05234,other,19778.89146,1
6046,59,M,1.0,83,40783,1,0,Own,85071,5/3/2015,Sunday,Local,0,1.0,68,Phone,1,3452.237803,4.0,Large,14247.850080000002,black,18161.12202,0
6047,32,F,1.0,85,34657,1,1,Own,50044,8/30/2016,Tuesday,Parking Lot,0,0.0,8,Phone,1,5210.459567,5.0,Compact,14618.28211,black,15876.6849,0
6048,66,F,1.0,84,41907,0,0,Own,20101,8/5/2016,Friday,Local,4,1.0,26,Phone,1,9341.903891,3.0,Medium,25938.028309999998,other,14021.51265,0
6049,34,F,1.0,84,35251,1,0,Own,85004,8/26/2016,Friday,Parking Lot,0,0.0,35,Broker,0,4301.846022,5.0,Large,8928.955504000001,gray,9478.772895999999,0
6050,51,M,0.0,45,39316,0,0,Own,85039,10/28/2016,Friday,Local,4,0.0,91,Phone,1,4124.398882,8.0,Medium,13966.85335,other,12178.10807,0
6051,36,M,1.0,91,35816,1,1,Rent,85045,7/20/2015,Monday,Parking Lot,2,0.0,17,Broker,1,4443.750024,8.0,Large,21403.76813,silver,22917.418840000002,0
6056,63,M,1.0,76,41421,0,1,Own,20165,6/7/2016,Tuesday,Parking Lot,1,0.0,39,Broker,0,8899.299764,7.0,Large,26345.79594,white,14279.41869,1
6057,43,F,1.0,61,37609,0,0,Own,50029,8/23/2016,Tuesday,Highway,3,0.0,67,Broker,1,5481.8676399999995,2.0,Medium,21746.58989,white,24713.72767,1
6058,49,F,0.0,79,38902,1,0,Own,80107,11/8/2016,Tuesday,Parking Lot,1,1.0,50,Broker,1,3584.3323649999998,2.0,Large,8089.278069,gray,44978.14321,0
6059,45,M,1.0,63,38053,1,1,Own,85035,8/15/2015,Saturday,Local,0,1.0,100,Broker,1,6878.972301999999,4.0,Large,4767.144259000001,gray,24365.792080000003,0
6060,47,F,1.0,70,38497,0,0,Rent,20151,10/9/2015,Friday,Parking Lot,0,1.0,2,Phone,1,4307.601557999999,7.0,Compact,16187.29699,white,20323.92626,0
6061,57,M,0.0,44,40435,1,1,Own,15022,7/1/2015,Wednesday,Parking Lot,1,0.0,77,Phone,0,5788.359757,4.0,Large,23767.50876,black,29008.335730000003,0
6062,30,M,1.0,95,33991,0,1,Rent,80002,9/28/2016,Wednesday,Local,0,0.0,50,Phone,1,5264.094402000001,3.0,Medium,33093.9408,gray,17946.25591,0
6064,48,M,1.0,92,38703,1,1,Rent,85023,3/31/2015,Tuesday,Parking Lot,1,0.0,70,Phone,0,5747.4187329999995,3.0,Medium,22086.45718,white,6500.150092,0
6065,36,F,1.0,83,35845,0,1,Own,80003,4/30/2016,Saturday,Local,0,0.0,63,Phone,0,5541.555264,5.0,Compact,29256.782769999998,gray,14238.05771,0
6067,71,F,1.0,85,42631,1,1,Own,80034,2/16/2016,Tuesday,Parking Lot,0,0.0,3,Broker,0,6276.610203,3.0,Large,10930.3397,black,4050.200555,0
6072,40,M,1.0,75,36872,1,0,Own,20141,7/23/2015,Thursday,Parking Lot,1,0.0,95,Online,1,5705.194687,3.0,Compact,18467.60877,red,23668.324630000003,0
6076,36,F,1.0,93,35827,1,1,Own,85068,8/25/2015,Tuesday,Local,3,0.0,67,Phone,1,8009.905361,4.0,Compact,22898.79101,other,12213.28803,1
